,BCOLOMBIA.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CNEC.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,BRK-B,CBU7.L,CENCOSUD.SN,CHILE.SN,EIMI.L,F,FALABELLA.SN,GE,JNJ,LQDA,NKE,PFE,UBER
GRUPOARGOS.CL,0.0005165321950110157,0.000390641730856453,-1.8311046726007345e-05,0.00038316225352039526,0.000977840454480855,0.00037914518744519934,0.0004042878019585341,-0.00012096647070903723,-0.00020518563526842327,0.0006003735782620064,0.0021717733942126366,0.0007942613312268402,0.0009713029812658735,0.00039114140501134083,0.00038995584400914777,0.00045464391855592936,-1.6929987246736418e-05,-0.0010869664367943262,0.0007188721340599668,0.00044979805561950494,0.00011573363594787148,0.0008116786848472663,0.000841467139083249,0.0010548518534315794,0.0002664867098596955,0.0003583134478213733,0.0003056239583050175,-0.0005664592236806511,-6.743684806282511e-05,-0.00011112178126946658,-9.541717854582725e-05,0.00016878531814443334,-0.0006673200804715918,-3.9487407829388854e-05,-0.0004792457651092432,0.00011229625478788637,-0.00020385381665391508,-0.0001201425896171395,0.0005521779506856881,-0.00010454186815799338
GRUPOAVAL.CL,0.0006293834844639483,0.0010318942268926028,0.0010641788264624007,0.00035478376338828917,0.0010217647851535393,0.0024694605784851996,0.0015705381299909967,0.0008920999777207038,0.0011921764713147905,0.000693962652578794,0.0007942613312268403,0.0036748142297945274,0.0017916718871395076,0.0012087805307369633,0.0011367337818608593,0.0019178710441914587,0.00451009479824014,0.0005119025724885162,0.002187704586508565,0.0013800519696660555,0.0008503436317475164,0.0013990677533723618,0.0008905187365736015,0.0025417011878066825,-0.0003149709335206495,0.0001866675864432215,0.0006305048049895903,0.0002461961847294431,7.674906700047806e-05,0.0003269636555559673,-7.714521402313299e-05,0.00021601720172038762,-0.00010520017956156078,5.271309414173528e-05,0.00013641833204110028,0.0007925826521687008,-0.00019353315875588796,0.0009766995463065691,0.0008802286589428591,-0.0004067735989169061
GRUPOSURA.CL,0.0004323859563343405,0.0007150050191544496,-0.0001982549542800545,0.00047066485423187613,0.0003353913198794463,0.0030606137491203163,2.954238624410212e-05,-0.0002525917979125932,0.000548639475515648,0.0017281920973817517,0.0009713029812658734,0.0017916718871395076,0.005121198634111703,0.0009923821546909159,0.0008589645068118941,0.0018495415347670712,0.006210929665055501,-0.0011029059923613664,0.001613990850183769,0.000671505622766911,0.0007621163903319836,0.0020620495745183503,0.0007355921628235343,0.003084023206159813,0.00044054999352418,0.0004256416123945319,0.0002547098116634955,-0.00034200441857781534,2.3331175957799704e-07,-0.0007365583975062544,-0.00023183832910775334,0.00044612722018627025,-0.0007624714926905631,1.1042727134345025e-05,-0.0007912097147416722,0.000597197678564621,0.00034342576531258713,0.0005645610696040933,0.0007992424685245569,-0.00010088592289093287
HCOLSEL.CL,0.00030658088519217865,0.0005110898661192509,0.000355223899794494,0.0001940540576296434,0.0003756692596827292,0.001023640157578607,0.0004993170487434097,0.0001141228427647275,0.0004126545295421161,0.000473213477575926,0.0003911414050113409,0.001208780530736963,0.0009923821546909157,0.0006755387221440671,0.0004559646670301078,0.0007724981942609707,0.0020941926277495363,-4.127582571911497e-05,0.00088699911300948,0.0005442621083460705,0.00036289551991528944,0.0006070952810815802,0.0003901067999621069,0.0012074245317083533,1.3540269507090734e-05,0.00017136363284109054,0.00019628369699553668,-2.2511408825995557e-05,2.396284620732474e-05,6.649896536316853e-05,-9.909046784706223e-05,0.00012788344695159593,-0.00011777656480662426,-1.3050496912081727e-05,-0.0001250308282304333,0.000295085065346037,-0.00023953829672361733,0.00034638260656317334,0.0003822058753411104,-0.0001619470115078779
ICOLCAP.CL,0.00036547976104593893,0.0004914306995212005,0.0002832752671691393,0.00022222151022322612,0.00028708546613805174,0.0009854430230031052,0.0005438903708224082,0.0005127332838781932,0.0004576064707686943,0.0003646416068988929,0.00038995584400914777,0.001136733781860859,0.000858964506811894,0.00045596466703010785,0.0007349281943543119,0.0007698353376169172,0.002301315709844893,0.00032481446519163666,0.0008265789634069412,0.0006443122476951827,0.00027655014963090687,0.0006175433576851296,0.00042504842133196256,0.0011150262946721166,-8.224336761583075e-05,6.652280628739564e-05,0.0003757175380833187,-7.43847329157863e-05,8.090173475044854e-06,8.791140194571435e-05,-2.1068186442469403e-05,0.00010315764005636391,-0.00013674762263362104,2.1360041800647046e-05,4.7804565617033785e-05,0.00025169932326754997,0.0002817530304355054,0.0005546951275303422,0.00038700636318518626,-2.354286332226209e-05
ISA.CL,0.00015133893276674833,0.00054921586217715,0.00029296904707850485,0.0003609201387598081,0.000494308887791522,0.0017600774662910408,0.0006805540442030174,0.00025182285908604917,0.0010313440679075437,0.000810721531788344,0.0004546439185559294,0.001917871044191459,0.0018495415347670715,0.0007724981942609709,0.0007698353376169174,0.0020974417967520023,0.004871145476238587,3.873854405457394e-05,0.0010107710301795745,0.0007098699519676576,0.0004389634852590405,0.0011573488420195113,0.00047259779091186503,0.0020498814412863364,-0.00027328363950638153,-1.9914325840989203e-05,0.0004409233554904679,0.00022809125128837892,4.413513571283402e-05,-8.709738831661058e-05,-0.0002046087178814979,-3.636164635041283e-05,-7.230689589068244e-05,7.65535557657131e-05,1.1331428376050529e-05,0.0004629475471003782,-0.00023820596319936002,0.0008315370790364015,0.0007285494428773694,-0.0003098248163401559
MINEROS.CL,0.0012444826329034626,0.0025797799275114287,0.0011815907530199163,0.0017685636592853398,0.0006106985110425292,0.007334724011027901,0.00021888170770111175,-0.004292725466258835,0.005784825598293565,0.002162602191490822,-1.6929987246736418e-05,0.004510094798240139,0.0062109296650555,0.002094192627749536,0.002301315709844893,0.004871145476238587,0.05656252171102271,-0.004135735695038031,0.0033750030688166135,0.0022016813442294245,0.002038851341048691,0.00496510586302497,0.0013058408611691774,0.004282513385333251,0.001825153511606158,0.0009256108080180815,0.001053418187710456,-0.0006564994680632638,-4.429037830253911e-06,-0.0024418322988037683,-0.0014769463490683342,0.0007213563597801995,0.0035488765525048933,5.766597170269187e-05,-0.0015791429640508604,0.001070028121549021,-0.006124155013070077,0.006336881618392551,0.0030726415243299567,-0.004869279009752007
NUTRESA.CL,0.0002058253043358709,8.950091379552847e-05,0.00044579985155935843,-0.0003306843436837556,-0.0007815820695354046,-0.0008792344032984633,0.0011329363587126654,0.0026358508040130826,0.0005485091973767548,-0.0008234106916007878,-0.0010869664367943262,0.0005119025724885162,-0.0011029059923613666,-4.127582571911497e-05,0.0003248144651916366,3.8738544054573935e-05,-0.004135735695038031,0.00915836553882831,-0.0001825256667730645,0.0001696380139733988,0.00013605529093318412,-0.0009615127386435582,0.0002623683155390525,0.0003631228379385024,-0.0011669642074982058,-0.0005210618037382007,0.0010620015138174776,0.0012364951026567087,0.00017972368553505677,0.00022149289503288328,0.0005119178160899401,-0.0003565988164230789,0.0009002366552325301,-0.0004127741559440404,0.001452846333273789,0.0005072150980609044,0.0013708887783174136,0.0009445975522011423,-0.00033435349504068766,0.0009563282588758468
PFAVAL.CL,0.0008343212137883425,0.00107390087244917,0.0006928544452317056,0.00038567071775348356,0.0008606423988528083,0.002408683734829731,0.0012062368429915985,0.0008796215548762268,0.00030436439707487385,0.000925342671826391,0.0007188721340599668,0.0021877045865085656,0.001613990850183769,0.0008869991130094801,0.0008265789634069414,0.0010107710301795743,0.0033750030688166135,-0.0001825256667730645,0.0027992388151540076,0.0011967357194839641,0.0009272522192461447,0.00119884351119563,0.0005314520251126045,0.0016145701780292026,0.0005188960078221476,0.0008218039903851957,0.0003744512561843831,-0.0004419534587201711,-2.5882387319503124e-05,9.921922872713433e-05,0.00015176722616123086,0.0006364034301605316,-0.00045122418921689445,0.0001653121525271784,-0.000356365320897995,0.0004926817568832645,-2.3330318190625183e-05,0.0005558774322187227,0.00045682821452660465,-1.6129658231878414e-05
PFBCOLOM.CL,0.0005922048974813438,0.0006750927368695922,0.0004277873247599954,0.0002968946918987562,0.0003784979183525749,0.0013555478205594977,0.0007870985955415917,0.0008755609753950139,0.0004593804441159764,0.00019826764626991735,0.000449798055619505,0.0013800519696660558,0.000671505622766911,0.0005442621083460704,0.0006443122476951827,0.0007098699519676574,0.0022016813442294245,0.0001696380139733988,0.0011967357194839641,0.0015334701061572695,0.00039099347123928307,0.0006820445240574608,0.00044450793607788867,0.0010026120595203174,4.8250937974611705e-05,0.0001453518749159334,0.0003196614154834667,-0.000250139795318962,3.6072335941050576e-06,0.00030381310046848103,5.1521128562919666e-05,0.00024707624794494305,-0.0001642654392609707,0.00018126547348176327,0.00018512678847087548,0.000217120478228358,0.0004563228525175121,0.0005311273083003743,0.00034419342142320765,8.291125175168447e-06
PFCORFICOL.CL,0.00030571919354049594,0.0005086345875516786,0.0007434113179123579,0.0002059470047595512,0.0002643761219441475,0.0012196493546250493,0.00020711758435955712,-4.218593203896647e-05,0.000562643805366622,0.0007046296132490093,0.0001157336359478715,0.0008503436317475164,0.0007621163903319834,0.00036289551991528944,0.00027655014963090687,0.0004389634852590404,0.002038851341048691,0.00013605529093318412,0.0009272522192461449,0.000390993471239283,0.0017231932606367212,0.0005220610622755148,0.0003048611806177606,0.001017949642179415,1.4245595296317508e-05,0.00027097091436567724,-0.00013746030187718886,0.00018089473366539958,4.5185660786322044e-05,0.00010572045276582127,-5.306911084012728e-05,0.00019617055700863023,9.971902863527111e-05,5.28100003094926e-05,-0.00013427821045430016,0.00037722607823656147,-0.00027722596225435636,0.00036722506042019835,0.00020887468245662242,-0.00015003591330444745
PFDAVVNDA.CL,0.0003825877304181302,0.0006524335892695021,-0.00010470268729045305,0.0004487769114547769,0.0006415174065211095,0.0018952473139653163,0.0004984141515547141,-0.00011404098341009729,0.0003598614497553226,0.0010335862215041251,0.0008116786848472664,0.0013990677533723618,0.0020620495745183507,0.0006070952810815802,0.0006175433576851297,0.0011573488420195115,0.004965105863024972,-0.0009615127386435582,0.00119884351119563,0.0006820445240574608,0.0005220610622755149,0.0018208661569297873,0.000382249921626696,0.0014845166983521582,0.0003040972348679101,0.0004139915331691023,0.000104744376079237,-0.0005005383236088859,-5.028358509302359e-05,-0.00039604869535027343,-0.00011731178370971068,0.00030581711743868416,-0.0004707272878471243,9.087692133354594e-05,-0.00048654269195871176,0.0002949612119054898,8.899968166553342e-05,0.0004211031009337791,0.0006454769711363447,-3.414397676364988e-05
PFGRUPOARG.CL,0.0005652990406820831,0.00037780570784493966,0.000464470199343098,0.00021353420194083258,0.00041399844118684504,0.0003849971715020738,0.00027679646126450586,-4.264245115482079e-05,0.00044952896368573384,0.00020037254656633192,0.000841467139083249,0.0008905187365736015,0.0007355921628235343,0.00039010679996210685,0.0004250484213319626,0.00047259779091186503,0.0013058408611691774,0.0002623683155390525,0.0005314520251126043,0.00044450793607788867,0.0003048611806177607,0.00038224992162669605,0.0015825372340594849,0.001233854623414492,-2.7903302404003585e-05,4.860944796882122e-05,0.0004966294088663089,1.9281259472685675e-05,2.1243231008429602e-05,-3.334288629008785e-06,-0.00015064739368942962,-4.676506222004272e-07,-3.0150616588554405e-05,-7.286390903338441e-05,-0.00013818855111604586,0.00023030974096642024,-0.00032530613579971417,0.0005401450266343366,0.0004984344617859496,-0.00044446946408340903
PFGRUPSURA.CL,0.00052537989967785,0.0010489651114805514,0.0010904619688083,0.00044711823343743506,0.000724597188859769,0.00233700430415093,0.00038248329991028777,-8.21393707281412e-05,0.0015268328505962099,0.0016300966708815406,0.0010548518534315794,0.002541701187806682,0.003084023206159813,0.0012074245317083537,0.0011150262946721166,0.0020498814412863364,0.0042825133853332505,0.0003631228379385025,0.0016145701780292023,0.0010026120595203174,0.001017949642179415,0.0014845166983521582,0.001233854623414492,0.005573521379272335,-0.0006172101464745334,6.786485838377415e-05,0.00034158793132215825,0.000594594246642886,0.00013086802163528145,-2.4181841038393495e-05,-0.0004827536995179009,-1.680277019344851e-05,-0.0005810579420162772,1.366860685172984e-06,-0.0002908339734807253,0.0009165871084920923,-0.00026594948115759274,0.0010985501332400798,0.000953962830397377,-0.00029922588572074276
PROMIGAS.CL,0.00029275184140305346,0.00029832820251089525,-0.00017617647948814445,0.00027496139717453377,3.271876975206284e-05,0.0005600335953413186,-0.00018359279538349163,-0.0004104472912646904,-0.0005901085003574323,0.0002292072259910744,0.00026648670985969546,-0.0003149709335206495,0.00044054999352418007,1.3540269507090736e-05,-8.224336761583078e-05,-0.0002732836395063815,0.001825153511606158,-0.001166964207498206,0.0005188960078221476,4.8250937974611705e-05,1.424559529631751e-05,0.00030409723486791014,-2.790330240400359e-05,-0.0006172101464745334,0.001663529968777722,0.0005965043937411932,-3.825268517707641e-05,-0.000854278419020822,-0.00010266180047149211,-0.00034440127883399516,7.32371305422831e-05,0.0005100791681112558,-0.00023766365278115654,7.891678993534638e-05,-0.0005581296110140702,-0.00014627136666645415,-5.1927112713524724e-05,-0.0001486558839442127,-2.657815529120914e-05,5.2395673393058405e-05
TERPEL.CL,0.0002562159684461072,0.0005114388544151881,-9.171649635895322e-05,0.00015849947568063555,0.0003828478756392232,0.00066546440000725,0.0002638443272266687,0.00011256851051833141,-0.0005556825885300216,0.0004567986510510164,0.0003583134478213733,0.00018666758644322147,0.00042564161239453204,0.00017136363284109052,6.652280628739564e-05,-1.9914325840989203e-05,0.0009256108080180816,-0.0005210618037382007,0.0008218039903851958,0.0001453518749159334,0.00027097091436567724,0.0004139915331691023,4.860944796882121e-05,6.786485838377415e-05,0.0005965043937411932,0.001417439158767225,-3.290981414003404e-05,-0.0004918092784436153,-7.526461322428072e-05,-0.00024697680086930353,0.00020733813583846615,0.000484019555540325,-0.00022855394967303118,2.1547358687377596e-05,-0.0005034552170839224,5.592236801120538e-05,0.0003617570304688905,-0.00027653604276099014,-9.718980891098723e-06,0.00021721751630117251
AAPL,6.861801373754458e-05,0.00012423953510440258,-2.042270732481999e-06,1.8642318838675895e-05,0.00016422219605889503,-9.626718936598476e-05,0.0005888589918161434,0.0008121949145741572,9.954604636639461e-05,-0.00037367235825867226,0.00030562395830501746,0.0006305048049895903,0.0002547098116634956,0.00019628369699553668,0.00037571753808331875,0.0004409233554904679,0.0010534181877104563,0.0010620015138174776,0.0003744512561843831,0.0003196614154834667,-0.00013746030187718886,0.000104744376079237,0.000496629408866309,0.00034158793132215825,-3.825268517707641e-05,-3.290981414003404e-05,0.0012328628277590917,-1.4993773362647752e-05,2.226895787208187e-06,-2.213579587877727e-05,8.619246667528153e-05,8.492230119553926e-05,0.00024512880346140456,-0.0001305957213128489,9.993793743760094e-05,9.387150477329979e-05,-0.0001694062625842879,0.0007509165827294227,0.00031795079844406196,-8.959771601685703e-05
BRK-B,-0.00032503188053151986,-0.000419193067616953,0.0007413646264980145,-0.0002479453892813271,-0.00024310110867796202,-0.000333284962888153,-0.00018229502424502522,-0.0001287846253133517,0.0009532299046057294,-0.00012800349977218527,-0.0005664592236806511,0.0002461961847294432,-0.00034200441857781534,-2.251140882599556e-05,-7.438473291578631e-05,0.00022809125128837892,-0.0006564994680632637,0.0012364951026567087,-0.0004419534587201711,-0.0002501397953189621,0.0001808947336653996,-0.0005005383236088859,1.928125947268567e-05,0.000594594246642886,-0.0008542784190208223,-0.0004918092784436153,-1.4993773362647757e-05,0.001587381560731099,0.00017361391853909231,0.0001589810276697876,-7.884459674460019e-05,-0.00043284053275218886,0.0009432593473718894,-0.00010881908026369386,0.000742709571199141,0.00038907319926767043,-0.00018362191355838698,0.00046957915612575027,-1.299493869696543e-05,-0.00014873407418365648
CBU7.L,-1.9737070194781825e-05,-2.3963985956528e-05,0.00013667512322620135,-2.549230383856489e-05,-1.0322811838934452e-05,-1.5233121842884892e-05,-2.7044847174854984e-05,-3.7319639072964707e-05,0.00014125373301244267,-8.147410476494688e-06,-6.743684806282511e-05,7.674906700047806e-05,2.33311759577997e-07,2.396284620732474e-05,8.090173475044856e-06,4.413513571283402e-05,-4.429037830253912e-06,0.00017972368553505677,-2.588238731950312e-05,3.6072335941050576e-06,4.518566078632205e-05,-5.02835850930236e-05,2.1243231008429602e-05,0.00013086802163528145,-0.00010266180047149211,-7.526461322428072e-05,2.2268957872081874e-06,0.00017361391853909231,3.829552308428147e-05,4.328675584097196e-05,-1.119326997813546e-05,-4.163982584178257e-05,9.951909843340214e-05,-4.869482742768366e-06,8.553191406317238e-05,6.347185920665876e-05,-3.066496891882193e-05,9.120939824306442e-05,2.9283809035665864e-05,-3.2326574053779e-05
CENCOSUD.SN,0.00017503662047012767,0.00011706892274708168,0.000483272313378277,-4.1871207558410034e-05,-1.08042504938977e-05,0.00013421947068199418,0.00020939470931487242,0.0005587036861278069,0.00026065879774157786,-0.0002934642242250236,-0.00011112178126946658,0.00032696365555596736,-0.0007365583975062546,6.649896536316853e-05,8.791140194571433e-05,-8.709738831661059e-05,-0.0024418322988037683,0.0002214928950328833,9.921922872713432e-05,0.0003038131004684811,0.00010572045276582127,-0.00039604869535027354,-3.3342886290087843e-06,-2.4181841038393495e-05,-0.00034440127883399516,-0.00024697680086930353,-2.213579587877727e-05,0.0001589810276697876,4.328675584097196e-05,0.0013085493363746924,0.0001753488761983102,-8.102781429070963e-05,-8.60147595189265e-05,0.00026223251895999953,0.0004889528192855372,1.3883950705731508e-05,0.0008285122587934905,-0.00011207476955219075,-6.317300750523993e-05,-4.829706300536823e-05
