Date,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GEHC,GOOGL,ISAC.CL,IUFS.CL,IUIT.CL,JETS,JNJ,JPEA.CL,JPM,LQDA,META,NKE,NU,NVDA,PBR,PFE,RBOT,SDHA.CL,SGLD.L,SUAS.CL,UBER,VOO
2023-02-20/2023-02-26,145.40493774414062,93.5,32.353675842285156,304.0199890136719,46.69905471801758,124.80999755859375,1383.920654296875,77.55609893798828,410.6300048828125,28.84000015258789,10.681313514709473,1848.2581787109375,66.04361724853516,74.81133270263672,88.80806732177734,323000.0,49770.0,82680.0,19.350000381469727,147.7864532470703,24190.0,133.9544677734375,7.480000019073486,169.74160766601562,114.56842041015625,4.940000057220459,23.26907730102539,7.9458794593811035,37.98278045654297,84.0,27940.0,175.1699981689453,59460.0,33.400001525878906,353.8111572265625
2023-02-27/2023-03-05,149.68649291992188,94.9000015258789,32.30638885498047,312.45001220703125,48.7185173034668,124.58999633789062,1434.8341064453125,77.55609893798828,416.54998779296875,29.739999771118164,11.760233879089355,1868.1319580078125,68.28063201904297,76.16773986816406,93.31173706054688,313480.0,47900.0,83410.0,20.1200008392334,145.93878173828125,23910.0,136.5493621826172,7.340000152587891,184.5450439453125,117.38312530517578,4.679999828338623,23.872636795043945,7.792266368865967,37.43692398071289,82.5,27850.0,178.25999450683594,58780.0,34.56999969482422,360.6595153808594
2023-03-06/2023-03-12,147.17901611328125,90.7300033569336,28.813140869140625,303.6300048828125,44.9866943359375,125.97000122070312,1434.8341064453125,79.6182861328125,408.0899963378906,28.950000762939453,10.87911605834961,1837.32763671875,71.93260192871094,74.77144622802734,90.30264282226562,307750.0,48480.0,81260.0,19.15999984741211,143.6551971435547,23650.0,127.03480529785156,6.159999847412109,178.82688903808594,114.35973358154297,4.489999771118164,22.948307037353516,7.5967631340026855,35.835731506347656,67.19999694824219,27490.0,179.1699981689453,57810.0,31.110000610351562,344.5343322753906
2023-03-13/2023-03-19,153.62118530273438,98.94999694824219,26.48105812072754,293.510009765625,41.180416107177734,128.8000030517578,1414.46875,74.4179916381836,407.4100036621094,28.420000076293945,10.159833908081055,1736.269775390625,71.43753814697266,75.63914489746094,101.2529525756836,296550.0,42900.0,83890.0,17.520000457763672,144.3848114013672,23400.0,119.58285522460938,7.21999979019165,194.86563110351562,117.18247985839844,4.690000057220459,25.710668563842773,6.975336074829102,36.48166275024414,71.69999694824219,27090.0,189.2100067138672,54950.0,31.780000686645508,349.5856018066406
2023-03-20/2023-03-26,158.8245086669922,98.12999725341797,25.833786010742188,298.9200134277344,40.1194953918457,129.72000122070312,1397.80615234375,68.77836608886719,409.1499938964844,29.049999237060547,10.348645210266113,1812.2867431640625,72.29203033447266,76.25751495361328,105.05915832519531,310010.0,42590.0,88290.0,17.290000915527344,144.64064025878906,23670.0,118.7274169921875,6.849999904632568,205.2260284423828,117.49394989013672,4.170000076293945,26.764081954956055,6.772848606109619,36.74549865722656,57.0,27400.0,191.80999755859375,57460.0,30.75,353.1603698730469
2023-03-27/2023-04-02,163.43312072753906,103.29000091552734,27.2235164642334,308.7699890136719,43.63727569580078,128.4499969482422,1421.874267578125,77.19999694824219,423.8800048828125,29.81999969482422,11.328664779663086,1816.460205078125,75.63880920410156,81.81275939941406,103.35533142089844,305610.0,42320.0,88000.0,18.6299991607666,146.86734008789062,23420.0,123.86012268066406,6.909999847412109,211.13348388671875,119.37254333496094,4.760000228881836,27.761524200439453,7.282557487487793,37.118499755859375,68.0999984741211,26810.0,191.10000610351562,56590.0,31.700000762939453,366.816650390625
2023-04-03/2023-04-09,163.19528198242188,102.05999755859375,26.500093460083008,312.510009765625,42.67872619628906,130.35000610351562,1429.2799072265625,77.62000274658203,424.2300109863281,29.649999618530273,11.085907936096191,1788.636962890625,74.056396484375,79.94770050048828,108.02838897705078,308410.0,42280.0,85100.0,18.1299991607666,156.48477172851562,23200.0,121.16069793701172,6.75,215.2776336669922,117.01699829101562,4.480000019073486,27.02193832397461,7.46409797668457,37.75533676147461,63.900001525878906,26890.0,194.11000061035156,56980.0,31.18000030517578,366.6995849609375
2023-04-10/2023-04-16,163.74037170410156,102.51000213623047,28.099241256713867,319.739990234375,46.12206268310547,128.86000061035156,1485.840087890625,78.5,429.1000061035156,29.969999313354492,11.25673770904541,1783.6685791015625,75.51221466064453,82.15186309814453,108.47676086425781,297000.0,40390.0,82730.0,17.93000030517578,157.13858032226562,23200.0,132.89822387695312,6.760000228881836,220.6471405029297,122.59435272216797,4.659999847412109,26.743091583251953,8.420675277709961,37.47331237792969,63.29999923706055,26890.0,192.97000122070312,54950.0,31.479999542236328,369.6647644042969
2023-04-17/2023-04-23,163.55206298828125,106.95999908447266,28.432395935058594,324.3299865722656,45.62882614135742,128.6699981689453,1453.3480224609375,79.25,429.04998779296875,29.469999313354492,10.618375778198242,1724.04736328125,78.73239135742188,86.25096130371094,105.02926635742188,297690.0,41340.0,82810.0,18.25,154.1538543701172,22100.0,134.6321258544922,6.940000057220459,212.07986450195312,122.185546875,4.989999771118164,27.10388946533203,8.099489212036133,36.58173751831055,70.19999694824219,25680.0,190.9499969482422,54210.0,30.829999923706055,369.2746276855469
2023-04-24/2023-04-30,168.17059326171875,105.44999694824219,27.870792388916016,328.54998779296875,43.80479049682617,129.5500030517578,1522.775634765625,85.94999694824219,431.5299987792969,29.600000381469727,10.681313514709473,1720.072509765625,78.30516052246094,81.12457275390625,106.95227813720703,310710.0,42540.0,88730.0,18.06999969482422,155.11085510253906,22370.0,132.4288330078125,6.710000038146973,239.40548706054688,123.34383392333984,5.159999847412109,27.73354148864746,7.415223121643066,35.38085174560547,67.5,26220.0,192.17999267578125,55320.0,31.049999237060547,372.6495056152344
