Date,BCOLOMBIA.CL,BHI.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL
2023-01-02/2023-01-08,34919.55859375,207.79989624023438,34293.859375,5802.08935546875,2377.306396484375,3039.740478515625,37173.71875,229.31748962402344,13897.1259765625,2198.148681640625,22.34476089477539,106.87000274658203,3352.96630859375,1257.603515625,52923.6484375,8997.1767578125,481.90460205078125,38938.0234375,12017.1884765625,12578.0693359375,20027.876953125,1999.8897705078125,40136.0234375,504.32769775390625,28204.20703125,11976.6015625,27297.650390625,5302.86279296875,10975.2587890625,3834.41650390625,6511.1259765625
2023-01-09/2023-01-15,35549.93359375,226.9889678955078,33606.265625,5869.35986328125,2423.200439453125,2973.659423828125,39323.64453125,225.41421508789062,15233.04296875,2254.63916015625,20.4588623046875,118.58999633789062,3454.055908203125,1256.1241455078125,53346.25,9001.765625,490.57171630859375,37822.65234375,12311.6669921875,12637.5595703125,19481.662109375,2199.878662109375,39685.953125,499.9422302246094,28041.64453125,12952.4716796875,26964.75,5523.08056640625,11146.7490234375,3978.107421875,6571.4140625
2023-01-16/2023-01-22,36072.484375,209.9897918701172,33944.328125,5890.8193359375,2473.89892578125,3018.8583984375,38998.66015625,221.2767333984375,15672.37109375,2283.71533203125,20.727001190185547,108.62000274658203,3674.095703125,1257.603515625,54551.4140625,9056.822265625,476.7007141113281,37522.08984375,12421.5390625,12634.7265625,19663.734375,2308.888916015625,39787.0390625,489.4171142578125,28114.796875,12996.830078125,25966.056640625,5348.9052734375,11035.2802734375,4084.620849609375,6602.5068359375
2023-01-23/2023-01-29,34919.55859375,208.98985290527344,31801.326171875,5951.33740234375,2259.07373046875,2735.235595703125,40278.609375,217.51007080078125,14695.0908203125,2165.749755859375,20.73594093322754,110.36000061035156,3589.090576171875,1190.284912109375,53784.3203125,8662.2470703125,467.9108581542969,37121.53125,11868.216796875,12247.5634765625,17806.603515625,2249.908203125,39389.1640625,499.0650329589844,28277.357421875,12154.0322265625,24054.271484375,4862.4248046875,10700.876953125,3791.215087890625,6591.5107421875
2023-01-30/2023-02-05,34637.546875,204.19007873535156,31371.572265625,5886.17724609375,2132.90673828125,2693.154541015625,39498.640625,210.87451171875,13520.55859375,2107.59765625,21.156023025512695,118.69999694824219,3636.315673828125,1109.650146484375,53784.3203125,8510.8427734375,473.1585388183594,36329.73046875,11650.451171875,11902.89453125,17296.8046875,2149.912353515625,39787.0390625,508.7131042480469,28277.357421875,11533.0234375,24349.123046875,4800.763671875,10297.880859375,3792.441650390625,6511.1259765625
2023-02-06/2023-02-12,33592.4453125,199.9902801513672,28363.34375,6012.3095703125,2003.3297119140625,2407.007080078125,39208.6484375,201.14559936523438,13081.23046875,2184.026123046875,20.753814697265625,110.41000366210938,3777.990234375,1043.0711669921875,53784.3203125,7726.28564453125,491.6476135253906,36329.73046875,11558.7255859375,11877.1728515625,17023.6953125,1900.92236328125,45091.97265625,495.5566711425781,27342.634765625,11089.4453125,24063.78125,4668.63330078125,10109.2421875,3661.8037109375,6438.7802734375
2023-02-13/2023-02-19,32680.056640625,199.79029846191406,27104.103515625,6121.62451171875,1848.17822265625,2398.5908203125,36768.734375,195.0662384033203,11601.8583984375,2106.7666015625,19.761709213256836,107.0999984741211,3872.440185546875,1033.4542236328125,50699.3203125,7584.05517578125,464.2200622558594,37074.9609375,11349.833984375,11692.7236328125,16368.240234375,1998.9185791015625,45078.94921875,504.32769775390625,26554.216796875,10619.2529296875,23768.9296875,4307.47509765625,9020.291015625,3581.123291015625,6366.4345703125
2023-02-20/2023-02-26,30689.3984375,197.4904022216797,24426.857421875,6193.099609375,1906.99951171875,2494.53466796875,37298.7109375,173.1103057861328,10490.0888671875,2176.54931640625,19.216495513916016,107.0999984741211,3725.164794921875,995.7260131835938,49371.25390625,8680.6015625,472.28399658203125,34457.35546875,11349.833984375,11214.681640625,16541.20703125,1939.9208984375,45149.79296875,498.1880187988281,25115.55859375,9847.4267578125,23778.439453125,4659.82470703125,8432.943359375,3719.53857421875,6273.99267578125
2023-02-27/2023-03-05,30805.517578125,224.48910522460938,22089.029296875,6159.2373046875,2241.171875,2482.752197265625,39178.6484375,185.5800018310547,10023.86328125,2263.77734375,20.548242568969727,107.0999984741211,3872.440185546875,1109.650146484375,50935.12890625,8900.828125,480.94244384765625,33497.87890625,11254.3388671875,11543.544921875,16022.302734375,1992.9188232421875,42749.71875,486.87347412109375,25847.08203125,9350.6201171875,23502.611328125,5280.83984375,9740.54296875,3424.989501953125,6499.068359375
2023-03-06/2023-03-12,30274.673828125,224.98907470703125,23292.318359375,6584.10986328125,2088.57763671875,2486.9599609375,38028.69140625,205.10000610351562,10176.283203125,2118.3974609375,20.655500411987305,115.0,3773.853515625,1035.673583984375,48842.05859375,8763.1845703125,467.8759765625,31206.30859375,11062.8544921875,11629.333984375,15931.2666015625,2299.90625,50481.328125,490.20648193359375,24619.75390625,9297.9765625,21781.052734375,4932.89501953125,9637.6494140625,3602.429443359375,6751.94921875
2023-03-13/2023-03-19,26044.517578125,219.98931884765625,25578.58203125,7988.3837890625,2427.865234375,2523.149169921875,36218.75,193.2100067138672,10534.91796875,1993.7855224609375,20.55718231201172,105.62999725341797,3755.88916015625,1198.42236328125,54110.6953125,8836.5947265625,446.04595947265625,30712.595703125,10614.2333984375,10571.2548828125,13719.0966796875,2289.906494140625,41686.90625,456.0876770019531,22213.859375,8472.3369140625,21876.166015625,4976.93896484375,8660.1640625,3553.426513671875,6671.89501953125
2023-03-20/2023-03-26,28201.064453125,224.98907470703125,24744.873046875,7988.3837890625,2344.322265625,2520.624755859375,36498.74609375,182.0,10077.658203125,1908.2191162109375,20.55718231201172,104.7699966430664,3664.64111328125,1108.910400390625,54110.6953125,7983.21630859375,438.5418701171875,34932.43359375,10618.2119140625,10465.4482421875,14019.5146484375,2229.99951171875,41686.90625,464.77093505859375,22197.603515625,8516.693359375,20925.02734375,5012.17431640625,8857.376953125,3446.61865234375,6804.52880859375
