Date,BCOLOMBIA.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CNEC.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GOOGL,JETS,JNJ,JPM,META,NKE,NVDA,PBR,PFE,SGLD.L,VOO
2020-02-09,28708.953125,59076.87109375,6839.87158203125,3220.4208984375,4748.625,56294.29296875,448.3353576660156,21129.189453125,2279.37939453125,10.045003890991211,252.0,3590.255859375,1584.98681640625,65021.65625,14359.984375,1043.0218505859375,27886.517578125,13437.2646484375,12784.474609375,14284.8173828125,2980.942626953125,21109.990234375,1056.715087890625,29885.900390625,15722.021484375,40993.0,9542.5791015625,21169.75390625,5986.53076171875,5924.47900390625,77.37921905517578,103.96399688720703,30.193748474121094,227.3800048828125,64.4893569946289,134.33999633789062,809.64013671875,58.80665588378906,332.3399963378906,29.3799991607666,6.308228492736816,3034.9755859375,62.341636657714844,73.51461029052734,30.5926513671875,130.0525360107422,117.56629180908203,211.1715087890625,92.79270935058594,6.262480735778809,4.735611915588379,28.420015335083008,151.9149932861328,280.6664123535156
2020-02-16,28981.25390625,59076.87109375,6535.60791015625,3249.36865234375,4665.8427734375,58294.0859375,465.28924560546875,21515.697265625,2357.3671875,9.77593994140625,252.0,3546.29345703125,1591.6185302734375,65503.87109375,14440.388671875,1053.7374267578125,28156.109375,13547.4873046875,12856.7314453125,14360.396484375,3056.40966796875,21060.046875,1056.715087890625,29417.3515625,15953.2275390625,40430.7265625,9704.0693359375,21304.123046875,6377.65185546875,5758.59375,78.75527954101562,106.74349975585938,30.40311622619629,226.8000030517578,64.5713119506836,134.5,795.5593872070312,58.37308120727539,336.5199890136719,29.8799991607666,6.300450801849365,3020.063232421875,62.341636657714844,75.48379516601562,31.112957000732422,128.5456085205078,117.81484985351562,213.0113983154297,96.61862182617188,7.213341236114502,4.755100250244141,27.269763946533203,153.43499755859375,285.2165222167969
2020-02-23,26271.150390625,59037.375,6365.2197265625,3401.3427734375,4364.82080078125,59893.91796875,457.7541809082031,21258.0234375,2428.26611328125,9.77593994140625,257.0,3590.255859375,1644.67236328125,70414.3671875,13877.568359375,1035.8779296875,27381.013671875,13321.7744140625,12587.5859375,14284.8173828125,3207.34326171875,21073.48828125,1053.1448974609375,27049.2734375,15953.2275390625,39534.609375,9175.5546875,20677.08984375,6385.63330078125,6220.70263671875,75.87117004394531,104.79850006103516,29.975643157958984,229.3300018310547,62.645381927490234,135.02000427246094,794.7771606445312,55.74998092651367,333.32000732421875,29.350000381469727,6.137104511260986,2886.90234375,59.52339172363281,73.73080444335938,30.22724723815918,128.37435913085938,116.4006576538086,209.03323364257812,93.54855346679688,7.319875717163086,4.556970119476318,26.679704666137695,159.10000610351562,281.732666015625
2020-03-01,25285.662109375,56666.3828125,6304.36669921875,3256.605224609375,3988.543212890625,56494.26953125,448.3353576660156,20742.677734375,2201.391357421875,9.77593994140625,246.0,3849.14501953125,1598.250244140625,65988.328125,12060.458984375,1018.0180053710938,25696.033203125,12433.8623046875,11937.2734375,14058.07421875,3249.7939453125,19538.44921875,1035.29443359375,26644.041015625,15895.4267578125,36898.96875,9175.5546875,19706.68359375,6520.87109375,6220.70263671875,66.25184631347656,94.1875,24.863384246826172,206.33999633789062,52.0078010559082,136.16000366210938,750.9705810546875,52.06462860107422,290.9200134277344,26.860000610351562,5.413720607757568,2600.12353515625,52.86648941040039,66.56329345703125,23.731399536132812,115.14563751220703,99.51610565185547,191.41986083984375,83.40518188476562,6.72247838973999,3.9301040172576904,24.961803436279297,154.22999572753906,249.78973388671875
2020-03-08,23794.453125,58098.734375,6389.560546875,3303.64453125,3800.404296875,55694.3515625,448.3353576660156,20613.84375,2102.133544921875,9.77593994140625,233.0,3795.413818359375,1621.46142578125,64378.87109375,12687.6025390625,985.6055908203125,25139.982421875,12304.318359375,11691.984375,13680.1669921875,3197.91015625,19721.99609375,995.7742919921875,24364.607421875,15895.4267578125,33999.765625,9014.0693359375,19408.095703125,6480.865234375,6220.70263671875,70.04964447021484,95.05449676513672,22.42938804626465,205.97999572753906,50.22121047973633,139.8800048828125,760.670654296875,54.77444839477539,294.5400085449219,27.030000686645508,5.048138618469238,2602.13134765625,45.67509841918945,64.40077209472656,21.775297164916992,122.3856201171875,92.63372039794922,180.10194396972656,82.68214416503906,6.626124858856201,3.4169158935546875,26.15686798095703,161.86000061035156,251.12258911132812
2020-03-15,18542.81640625,53538.09375,5841.88330078125,2967.129150390625,3010.2216796875,47095.22265625,368.2754821777344,17715.01953125,1375.4263916015625,8.968751907348633,209.0,3780.75927734375,1346.243896484375,54722.02734375,8763.9326171875,845.8286743164062,17692.3515625,9520.2587890625,9189.947265625,12047.6181640625,2782.842529296875,17102.408203125,755.7855224609375,18805.322265625,13756.7666015625,27217.384765625,7560.65869140625,14630.716796875,5656.75439453125,5332.0302734375,67.3691177368164,89.25,21.211660385131836,196.39999389648438,41.82915496826172,137.22000122070312,664.9296875,50.22918701171875,252.52999877929688,23.530000686645508,4.379201889038086,2284.667724609375,38.18143081665039,60.3515510559082,18.0815372467041,115.71614837646484,89.05965423583984,169.35092163085938,70.72335815429688,5.998481750488281,2.1371963024139404,24.431501388549805,147.9499969482422,227.6363525390625
2020-03-22,12124.1484375,40979.78125,5111.64794921875,2645.0869140625,1881.3885498046875,50994.82421875,331.5421447753906,14159.1337890625,1052.83935546875,8.968751907348633,170.0,3004.091796875,1442.404296875,44720.5625,5933.74560546875,716.8040161132812,13665.232421875,7351.8525390625,7188.00927734375,10127.857421875,2169.67333984375,14216.80859375,535.8555297851562,13866.552734375,13756.7666015625,21471.6875,5277.7802734375,8897.8681640625,5600.74609375,4739.5830078125,55.55887985229492,92.30449676513672,17.269590377807617,170.05999755859375,31.19156837463379,138.22000122070312,485.7840576171875,50.22195816040039,237.22000122070312,21.309999465942383,3.368018627166748,1653.7552490234375,31.712478637695312,53.09208297729492,12.401888847351074,103.30783081054688,71.56657409667969,148.91305541992188,63.115787506103516,5.124512672424316,1.575289249420166,21.667922973632812,143.9600067138672,194.62649536132812
2020-03-29,16662.603515625,49017.12109375,5050.7958984375,3039.498779296875,3010.2216796875,54194.5078125,320.23956298828125,16104.56640625,1318.7076416015625,8.968751907348633,187.0,2989.4375,1452.3519287109375,47943.671875,10966.9775390625,788.4842529296875,18534.841796875,8982.765625,8778.5498046875,12546.4521484375,2547.008544921875,16324.2431640625,659.0736694335938,17184.392578125,13063.1494140625,27317.0234375,7340.4453125,12689.9130859375,5615.9892578125,5121.16748046875,60.04256820678711,95.00499725341797,18.964065551757812,179.66000366210938,35.89570999145508,140.97999572753906,598.4296264648438,46.32704544067383,255.0,22.219999313354492,4.036954879760742,1519.9254150390625,37.062740325927734,55.18205261230469,15.440303802490234,106.12557220458984,78.10611724853516,155.9345245361328,77.88178253173828,6.294620513916016,1.6857218742370605,23.07958984375,157.81500244140625,215.0551300048828
2020-04-05,15638.296875,50174.79296875,5142.07421875,2981.602783203125,2934.965576171875,50794.8515625,1280.958251953125,17070.837890625,1609.390625,8.968751907348633,189.0,3495.60791015625,1449.0360107421875,47137.90625,9728.7685546875,788.4842529296875,16816.158203125,8923.046875,8702.080078125,11715.0615234375,2438.524169921875,16474.7734375,649.0441284179688,15538.1376953125,12265.48828125,24182.283203125,6312.78173828125,12316.6796875,5615.9892578125,5121.16748046875,58.50841522216797,95.32949829101562,17.585662841796875,178.33999633789062,30.724435806274414,141.16000366210938,690.7364501953125,57.72908401489258,248.9600067138672,22.15999984741211,3.29801344871521,1843.0289306640625,32.7338981628418,54.30928421020508,12.213231086730957,115.61273956298828,72.0379638671875,153.33876037597656,73.79259490966797,6.074944972991943,1.870859146118164,25.126129150390625,156.7050018310547,210.58523559570312
2020-04-12,17149.560546875,49177.9453125,5233.3544921875,3025.024658203125,2938.728759765625,52594.9140625,315.5301513671875,17380.046875,1673.19921875,8.968751907348633,195.0,3413.907958984375,1512.0374755859375,48346.56640625,9310.6728515625,788.484130859375,19377.333984375,8923.046875,9205.75,12999.9404296875,2589.989013671875,17311.05859375,674.0502319335938,16804.48828125,12947.5458984375,25436.1796875,6532.9951171875,13033.2841796875,5615.9892578125,5281.20361328125,64.95037078857422,102.13800048828125,21.826234817504883,193.83999633789062,38.85423278808594,140.63999938964844,735.3253784179688,56.36001205444336,278.4700012207031,23.959999084472656,4.176965236663818,2007.44873046875,34.72807693481445,59.96884536743164,15.19206714630127,121.69625091552734,88.98924255371094,174.234130859375,81.21302032470703,6.549164772033691,2.182668924331665,26.433218002319336,162.8300018310547,236.12106323242188
