,BCOLOMBIA.CL,BOGOTA.CL,BVC.CL,CELSIA.CL,CEMARGOS.CL,CONCONCRET.CL,CORFICOLCF.CL,ECOPETROL.CL,ENKA.CL,ETB.CL,EXITO.CL,GEB.CL,GRUBOLIVAR.CL,GRUPOARGOS.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,ISA.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,PROMIGAS.CL,TERPEL.CL,AAPL,AMZN,BAC,C,CBU7.L,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GOOGL,JETS,JNJ,JPM,META,NKE,NVDA,PBR,PFE,SGLD.L,VOO
EXITO.CL,-0.00018835279295128393,7.467084186271172e-05,-0.00019913483177116278,0.00011955481845515697,-0.00033735379837348406,0.0004949367493988519,0.00023384109780884922,0.00037114638909835113,2.363085166127911e-06,4.043223214429317e-05,0.0040122074606793,-0.00021582473047458754,-0.00023386680316052932,0.00037562453152160567,0.0009018865481431528,0.00016174607997725113,1.7064073842231982e-05,-0.00011462122361852968,-6.054729074056044e-05,0.00033292559073951604,0.00025455481077556647,-0.0004338896802398735,-3.1181351397261426e-05,0.00013813565874453495,0.0007550217291171425,-0.00032636269712165285,0.00020809672540683273,8.301950419647744e-05,0.00035543282425239126,-0.0002509918415907951,-2.5646785511199233e-05,-4.774738028198416e-05,0.00018028696270518265,8.323508905118851e-05,6.329596252858546e-05,-0.00039350350410137454,0.0006179608766829975,0.00027710543892570956,0.0007020054356606632,2.702152469753069e-05,-0.0001855998007922625,0.00038266171164213033,-1.7690185182114616e-05,0.0008880407910853021,-0.0004267455009472182,0.00018778190798803086,-6.919550305474386e-05,0.0001615161208564353
GEB.CL,-2.2319402751170994e-05,3.4249596103478e-05,9.572305512924132e-05,2.6918269371512193e-05,0.0001278037956954688,-0.00015921863783358424,6.915569319574654e-05,-0.0002111505555349292,0.00021337000258430974,-2.558417090283179e-05,-0.00021582473047458751,0.0005666242207589687,-1.7096939598502773e-05,0.0001235118541237249,3.3814542472986485e-05,7.736390734435672e-06,5.5917562979652914e-05,0.00012465764233329687,3.543847815965305e-05,0.00011032780605621071,-1.4848890680569872e-05,0.00010508295166714019,1.2893334544674178e-05,2.7419615141173096e-05,-6.410481949404137e-05,7.266566843798507e-05,-4.743446463472742e-05,-1.4222352715702867e-05,9.313569684336977e-05,0.00015159192851395788,0.00015874928308886525,4.730369881574316e-06,1.6674619428413225e-05,5.693173457808496e-05,0.00011051006006312113,6.087110558574633e-06,5.9074216986488826e-05,6.281106697164622e-05,0.00011641593317092817,6.729728656253279e-06,0.00014041333947928706,0.00020574921847882734,0.0003141149719503619,0.00014268230720820174,-0.0002709277998913835,-2.643503083436595e-05,-5.562667049173784e-05,8.37064007189112e-05
GRUBOLIVAR.CL,-7.105345930046963e-05,5.862315257001826e-05,1.3557161711391742e-05,-3.6246275841660784e-05,-0.00018442188002285297,3.747939607602042e-05,7.281522051480923e-05,-0.0002545019980157461,-4.2901307558614525e-06,-1.0012521498826414e-05,-0.00023386680316052935,-1.7096939598502776e-05,0.0009211545875094047,-0.0001829690939316876,-0.000112239112546282,-4.97634100468628e-05,-4.4244195101772024e-05,3.1438960168976506e-05,0.00014094328659392503,3.1337418688146776e-05,2.2984812831452288e-05,-0.0002368623364818413,1.5019340275083223e-06,-2.795362959142483e-05,-0.00014990598131550155,-5.522150255898306e-05,-3.8681405952694547e-05,-0.00013128755046410443,-6.87667097630516e-05,-5.976476059304557e-05,-0.0001537425880351172,1.1184086189872474e-05,5.117527018417296e-05,2.8627724858879648e-05,-0.00022571043264911055,8.241479266861144e-05,0.0001534065267523077,-1.8219744429178203e-05,-0.00010565556737922075,-7.453900099119805e-05,3.672514720077952e-05,0.00014076115804215878,9.181390036935642e-05,8.393602893714841e-06,-7.204772358181232e-05,-7.174131085953083e-05,-2.2543465301467204e-05,-2.906969477399337e-05
GRUPOARGOS.CL,-2.1495179067640524e-05,2.173454925698862e-05,-6.253310949978188e-06,0.00013037229300350735,0.0006096528018240828,-0.0005214981256207955,-6.644121197319851e-05,-0.00020409343378874724,5.143716306591807e-07,4.689519327689282e-06,0.0003756245315216057,0.00012351185412372488,-0.00018296909393168757,0.0022394535298247706,0.0007641248562868017,8.471961913300275e-05,0.00012738476162719518,0.00021487812950608752,8.764117239938293e-05,-0.00016105380368286196,9.780977814607869e-05,0.0008473947561116035,1.2816798599880085e-06,0.0003440138430955396,0.00038982889745599536,-0.00016189966355426963,8.906961406916811e-05,0.0005305104372393394,-5.547675573860849e-05,0.00018556700125243545,0.0003508007165008134,-1.6031832056845894e-05,0.00010266558302451138,1.1399483961948067e-05,0.0006758459008382053,5.312144866105938e-05,-0.00023735522366833095,1.4990854708963197e-05,0.0005410504307028275,0.00010187320417464584,0.00010822677053376844,-2.1939274000238732e-05,0.00016458875961496722,4.765781202394597e-05,-3.911785515475525e-05,0.00040689330465708956,9.772277784684445e-05,9.81196672122469e-05
GRUPOSURA.CL,-0.00014329965119344807,1.188966010460379e-05,-0.00016751111635134928,6.658323577585026e-05,0.000251162726967353,-0.00016672792458896746,-8.575491642228968e-05,-0.00014568866518919154,-0.00029415215062542527,9.465088761462363e-05,0.0009018865481431527,3.381454247298649e-05,-0.00011223911254628198,0.0007641248562868017,0.001407985579856872,0.00016773502876255098,6.430366260482963e-05,-1.1177527523351812e-05,-4.189554327235509e-05,-4.030902363601241e-05,0.00010877797485048693,0.00032712946017904033,-3.057738745194991e-05,0.000336240179488295,0.0005204654303233957,-0.00021649903596277257,8.686114368921881e-06,0.00017643114257652077,4.308607246381874e-05,-6.458959424950163e-05,0.00014070777496583505,-2.6761714476801956e-06,5.4354186188299426e-05,-1.4600847757285237e-05,0.0004067738629233435,-5.087152051977833e-05,2.403550751966013e-05,-1.944348992135086e-05,0.00046447198714039925,6.954228315021716e-05,3.766207054894274e-05,-0.00014586257026560565,0.00012852872285434627,0.00020983024152592924,0.00018701071933748895,0.00029596765346120616,4.807297357556234e-05,3.425371326524299e-05
HCOLSEL.CL,-6.426040508855628e-05,-1.89332669710539e-06,-5.7571681311518536e-05,1.425104035643415e-06,1.0606993958077113e-05,2.9306517748547773e-06,-2.5811688364371842e-05,-1.1738319467020314e-06,-0.00010324388247100736,-1.2297067847563125e-05,0.00016174607997725113,7.736390734435672e-06,-4.97634100468628e-05,8.471961913300273e-05,0.00016773502876255095,0.00038277353398099445,1.3385852864362395e-05,-1.5393634588941226e-05,-1.4731362176712373e-05,9.278076425209885e-05,5.472713019979812e-06,8.874496740445364e-05,-5.763077496979878e-05,9.41871820288591e-05,6.985219626524963e-05,-3.806773929464543e-05,-5.532913520507395e-05,6.901174713135587e-05,-3.0245307673805615e-05,-2.1123173291597774e-05,-4.11225321125936e-05,-5.853703246664293e-06,-1.8774218569894812e-05,-8.944428869071078e-06,8.810322681597004e-05,6.096171204559248e-05,3.984442775202775e-05,-4.9355053514536096e-05,3.708276645349933e-05,1.4259218062269251e-05,-3.109772247330194e-05,-9.088434799806888e-06,1.798265720004573e-05,2.6145840898040193e-05,2.7629681262820404e-05,4.36852959843939e-05,2.950712260927223e-06,1.2150410859544857e-06
ICOLCAP.CL,0.00010469914983076383,-2.441753116063381e-05,4.9890636873781954e-05,3.0997967905638486e-05,0.00012212152434156856,-0.00017214561203576258,8.741752816577866e-06,-2.516036628300098e-05,9.086652241223991e-05,-3.337148735239249e-05,1.706407384223198e-05,5.5917562979652914e-05,-4.4244195101772024e-05,0.00012738476162719518,6.430366260482963e-05,1.3385852864362395e-05,0.0003537540556703309,3.486180878737426e-05,0.00017194051581996946,-4.783569676062322e-05,1.5589440064510913e-05,6.764709609730424e-05,8.942169965774579e-05,-5.2387201166436304e-05,1.333545062092796e-06,5.5518042983816504e-05,-2.1829791309170554e-05,2.1835785147042657e-05,5.030539987657542e-05,6.17894529611237e-05,7.132264631381554e-05,-7.776790711611458e-06,-1.9930621830329777e-06,2.258937008283774e-05,0.0001348984608906419,8.693628273791741e-05,2.3728985443770212e-05,8.404553489735447e-06,-1.0848081939436129e-05,1.242051085939334e-05,2.9929094912903438e-05,2.3644660567981038e-05,5.461063226222783e-05,7.51993009816627e-05,-4.85254807949483e-05,2.9665532827225536e-05,-1.322917264215138e-06,-3.643434849940347e-07
ISA.CL,2.6588210545857398e-05,-6.2524820348116495e-06,0.00010226717111299189,0.00010691865484101184,8.902744835994133e-06,-0.0001742131147897387,0.00011568452158993841,-0.00014659710830539484,0.00017935702357211442,-3.488863527049157e-05,-0.00011462122361852968,0.0001246576423332969,3.1438960168976506e-05,0.00021487812950608752,-1.1177527523351812e-05,-1.5393634588941226e-05,3.486180878737426e-05,0.0010268872058756015,-2.4449637684014113e-05,5.985439519773111e-05,7.904327901824752e-05,0.00011953821329232488,0.00010490817352659645,-4.388445601717455e-05,6.68506932854888e-05,7.414594520516609e-05,-5.404612181554206e-05,9.724505013962076e-05,9.992793541970435e-05,1.350963429498113e-07,0.0001913265069886327,-6.627590657066523e-07,-7.334156865883593e-06,7.00932320273957e-05,-1.4263795576910356e-05,-5.6146162267830636e-05,0.00012930772431056126,6.240108709873579e-05,0.00030440159102273844,5.787059398745632e-05,6.601797458775664e-05,0.00010159052219607342,5.5623582817175495e-05,0.00010659856547129111,-0.0003053285766799883,-9.168498604531284e-05,-5.202243605671157e-05,-5.5250525971740015e-06
MINEROS.CL,0.00013077302141026572,7.074217682637179e-05,4.0790653244165216e-05,7.9339588347019e-06,0.0002028038849949646,-5.2958083932059494e-05,6.957026453367051e-05,-8.116898837627612e-05,-1.5549029532806335e-05,-3.5254804999215905e-06,-6.054729074056043e-05,3.543847815965305e-05,0.00014094328659392506,8.764117239938293e-05,-4.18955432723551e-05,-1.4731362176712371e-05,0.00017194051581996946,-2.4449637684014116e-05,0.0015924555415946782,0.0001463106519629589,-1.595501059227608e-05,3.658661810366308e-05,0.0001799910916632829,-6.247761153043221e-05,-0.00013873016641098685,7.310270083766417e-05,4.9384159704696936e-05,-0.00012907958400405067,2.240035257121609e-06,5.4336716910625967e-05,-9.833415468281014e-06,2.2852393055158006e-06,1.7978413262690338e-05,1.97886932590719e-05,0.0001841443859864626,0.00025608221772311875,-8.583263587758035e-05,0.00015636858684808788,-0.0001344093135666454,-3.5741275286471744e-06,-4.1252857769556567e-05,0.00011715196162011374,-0.00010103405276812424,0.00011034160571193266,-0.00017208142976993831,1.4711021453533598e-05,3.129169149260265e-05,2.8741478876582802e-05
NUTRESA.CL,-2.2216648328710212e-05,0.00016214879819106306,0.00013996687581510186,-5.64150158646919e-05,-0.0002883428984578474,0.00015090171239552744,8.796212046475118e-05,-3.8070509925878005e-05,2.1014369966340836e-05,9.266210507801786e-07,0.00033292559073951604,0.00011032780605621073,3.1337418688146776e-05,-0.00016105380368286194,-4.030902363601241e-05,9.278076425209885e-05,-4.7835696760623216e-05,5.98543951977311e-05,0.0001463106519629589,0.0021383863028828715,-1.653763400906838e-05,-0.00037959509468131296,0.00011131460495430168,-0.00010393304347993508,-0.00010906312160886149,4.1239028676201675e-05,-2.029740899407503e-06,-0.00022322426536912243,-2.9078664011436285e-05,-0.00016963954079057944,-0.0001610163584866226,-4.213650647634675e-06,5.059870082469739e-05,5.1199962138650214e-05,-6.571365017495038e-05,-1.1760496932617264e-05,0.00035841683304692595,0.00013263705473229217,-0.00012818484499856574,-9.550829400390426e-05,-0.00021026312992179536,0.00014430930565613234,-0.0003028606099201381,0.0001366940134264508,-0.0004805364017666529,-0.00017164319625058495,6.435420290630832e-05,-8.406782094671237e-06
